epoch,is_street__dice_coef,is_street_loss,is_street_pr_auc,is_street_precision,is_street_recall,val_is_street__dice_coef,val_is_street_loss,val_is_street_pr_auc,val_is_street_precision,val_is_street_recall
0,0.0102,5.3204,0.0146,0.0148,0.1084,4.4516e-10,1.7459,0.0086,0.0,0.0
1,0.0035,1.2151,0.0161,0.0202,0.0345,2.7279e-10,1.1116,0.0108,0.0,0.0
2,0.00089565,1.4939,0.0149,0.015,0.0132,3.2474e-10,1.0187,0.011,0.0,0.0
3,0.0088,0.9465,0.0149,0.0117,0.0211,1.6928e-10,1.176,0.013,0.0,0.0
4,0.0106,0.6304,0.0153,0.0206,0.00025837,0.0065,0.5631,0.0122,0.0,0.0
5,0.0249,0.5269,0.0152,0.0053,2.9097e-06,0.0141,0.5078,0.008,0.0,0.0
6,0.0064,0.9215,0.0154,0.0122,0.0139,1.709e-10,1.5656,0.0121,0.0,0.0
7,0.0106,0.6618,0.0142,0.0164,0.0079,0.0253,0.5147,0.0145,0.0,0.0
8,0.0036,1.0157,0.0172,0.0163,0.0221,2.1642e-10,0.9119,0.0102,0.0,0.0
9,0.0016,1.4206,0.0177,0.0163,0.0185,2.373e-06,0.7253,0.013,0.0,0.0
10,0.0146,0.6477,0.0154,0.0233,0.0106,0.0156,0.5104,0.0081,0.0,0.0
11,0.021,0.5581,0.0167,0.0141,0.0061,1.8645e-10,0.9404,0.0134,0.0,0.0
12,0.0057,0.8802,0.0176,0.0211,0.0337,0.0072,0.5427,0.0074,0.0,0.0
13,0.0166,0.6966,0.0161,0.0198,0.0091,1.272e-07,0.7555,0.0125,0.0,0.0
14,0.0026,0.9572,0.0157,0.0181,0.0313,0.0215,0.5291,0.0166,0.0,0.0
15,0.0112,0.6928,0.0168,0.023,0.0194,0.0184,0.5115,0.0102,0.0,0.0
16,0.0278,0.5191,0.0169,0.78,5.5448e-05,0.0205,0.5127,0.0159,0.0,0.0
17,0.0274,0.5248,0.018,0.7552,7.4764e-05,0.019,0.5132,0.0131,0.0,0.0
18,0.0193,0.5534,0.016,0.0206,0.0093,0.0187,0.545,0.0131,0.0,0.0
19,0.0235,0.5301,0.0158,0.887,7.748e-05,0.0128,0.5458,0.0112,0.0,0.0
20,0.0163,0.6046,0.0173,0.0219,0.0151,3.7884e-05,0.6783,0.014,0.0,0.0
21,0.0143,0.6024,0.0152,0.0115,0.0059,0.00020266,0.637,0.0129,0.0,0.0
22,0.0033,0.954,0.0159,0.012,0.0206,9.9632e-10,0.8228,0.0114,0.0,0.0
23,0.013,0.6543,0.0154,0.0158,0.014,0.0187,0.5112,0.0139,0.4855,0.0017
24,0.0257,0.5238,0.0168,0.4906,0.00025217,0.0121,0.546,0.0114,0.0,0.0
25,0.0111,1.0588,0.0163,0.0319,0.0279,1.9125e-10,1.0296,0.012,0.0,0.0
26,0.0038,0.8089,0.0171,0.0199,0.0406,0.0083,0.5813,0.0167,0.0,0.0
27,0.0164,0.598,0.0157,0.0123,0.0085,0.0258,0.5325,0.0207,0.0,0.0
28,0.0268,0.5131,0.0184,0.0,0.0,0.0177,0.5117,0.0173,0.0,0.0
29,0.0242,0.536,0.0161,0.0201,0.0076,0.0187,0.5131,0.0126,0.0,0.0
30,0.0188,0.6211,0.016,0.0106,0.0045,2.4839e-05,0.6862,0.0138,0.0,0.0
31,0.0124,0.6641,0.0163,0.0176,0.0076,0.027,0.5127,0.0206,0.0,0.0
32,0.026,0.5173,0.0157,0.9211,2.6804e-05,0.013,0.5335,0.0106,0.0,0.0
33,0.0268,0.5233,0.0166,0.475,0.00013466,0.0217,0.512,0.0149,0.0,0.0
34,0.0253,0.5216,0.0173,0.7222,9.8206e-06,0.0224,0.5097,0.0152,0.0,0.0
35,0.0126,0.7288,0.0153,0.0027,0.0035,2.3792e-05,0.6109,0.008,0.0,0.0
36,0.0201,0.5555,0.0158,0.0235,0.0103,0.0251,0.5218,0.0167,0.0,0.0
37,0.0248,0.5269,0.015,0.9333,3.0401e-05,0.0247,0.513,0.0183,0.0,0.0
38,0.026,0.5172,0.0154,0.0,0.0,0.0215,0.5098,0.0211,0.0,0.0
39,0.0171,0.8497,0.0146,0.0186,0.0086,2.2109e-10,0.8995,0.0116,0.0,0.0
40,0.0162,0.7091,0.0162,0.0135,0.0061,0.0263,0.5173,0.0146,0.0,0.0
41,0.0246,0.5248,0.016,0.25,7.4816e-07,0.0264,0.5132,0.015,0.0,0.0
42,0.026,0.521,0.0158,0.8571,1.7843e-05,0.0221,0.5149,0.0116,0.0,0.0
43,0.0264,0.5212,0.0148,1.0,7.2622e-07,0.0165,0.542,0.0134,0.0,0.0
44,0.0277,0.5187,0.0181,0.0,0.0,0.0205,0.5111,0.0154,0.0,0.0
45,0.0272,0.5191,0.0158,0.75,2.1663e-06,0.0197,0.5097,0.0129,0.0,0.0
46,0.0174,0.5792,0.014,0.01,0.0062,0.0082,0.5618,0.0114,0.0,0.0
47,0.022,0.5318,0.0137,0.0,0.0,0.0264,0.5179,0.0179,0.0,0.0
48,0.0266,0.5228,0.0176,0.6714,3.3528e-05,0.00039142,0.6295,0.0131,0.0,0.0
49,0.0259,0.5274,0.0159,0.5,7.2017e-07,0.0232,0.512,0.0126,0.0,0.0
50,0.0233,0.5307,0.0155,0.7419,1.7239e-05,0.0216,0.515,0.013,0.0,0.0
51,0.0228,0.5383,0.0156,0.4722,3.6552e-05,0.0033,0.5814,0.0112,0.0,0.0
52,0.0143,0.5782,0.0158,0.0054,0.0023,0.0178,0.5125,0.0095,0.0,0.0
53,0.0242,0.5365,0.0157,0.0059,0.0025,2.2169e-09,0.737,0.009,0.0,0.0
54,0.0084,0.8692,0.0162,0.0105,0.0136,0.0206,0.5129,0.0128,0.0,0.0
55,0.0262,0.5241,0.0158,1.0,4.2922e-06,0.0162,0.5111,0.0082,0.0,0.0
56,0.0273,0.5176,0.016,0.25,7.29e-07,0.0173,0.5136,0.0093,0.0,0.0
57,0.0281,0.5176,0.016,0.0,0.0,0.0243,0.5167,0.0146,0.0,0.0
58,0.0281,0.5162,0.0168,0.0,0.0,0.0257,0.5125,0.0155,0.0,0.0
59,0.0198,0.571,0.0159,0.0161,0.0139,0.0047,0.5682,0.0112,0.0,0.0
60,0.0252,0.5174,0.0155,0.0,0.0,0.0138,0.5396,0.0114,0.0,0.0
61,0.0275,0.5234,0.0171,0.0,0.0,0.0156,0.5218,0.0106,0.0,0.0
62,0.0115,0.698,0.0161,0.015,0.0135,4.1148e-07,0.7597,0.0133,0.0,0.0
63,0.0249,0.5275,0.0149,0.0,0.0,0.0245,0.537,0.0131,0.0,0.0
64,0.0274,0.5143,0.0157,0.0,0.0,0.0234,0.5132,0.0143,0.0,0.0
65,0.0267,0.519,0.0151,0.0,0.0,0.0204,0.512,0.0112,0.0,0.0
66,0.0274,0.5144,0.0159,0.0,0.0,0.0233,0.526,0.0191,0.0,0.0
67,0.0123,0.6825,0.0156,0.0169,0.0143,0.0181,0.5211,0.0103,0.0,0.0
68,0.0276,0.5224,0.0165,0.0,0.0,0.026,0.5113,0.0164,0.0,0.0
69,0.0234,0.5362,0.0162,0.7946,6.1893e-05,0.023,0.5688,0.0123,0.8333,4.7229e-05
70,0.0262,0.5177,0.0154,0.175,5.2624e-06,0.0216,0.5111,0.0109,0.0,0.0
71,0.0286,0.5173,0.0172,0.0,0.0,0.0208,0.512,0.011,0.0,0.0
72,0.0284,0.5146,0.0175,0.0,0.0,0.0234,0.5101,0.0144,0.0,0.0
73,0.0264,0.5123,0.0161,0.0,0.0,0.0169,0.5167,0.0095,0.0,0.0
74,0.0096,0.7551,0.0161,0.0205,0.0266,0.0116,0.5436,0.0105,0.0,0.0
75,0.0264,0.5205,0.0175,1.0,1.4699e-06,0.0232,0.5104,0.0136,0.0,0.0
76,0.0265,0.5137,0.0153,0.0,0.0,0.0213,0.5091,0.0142,0.0,0.0
77,0.0246,0.5297,0.0158,0.0118,0.0011,0.023,0.518,0.0136,0.0,0.0
78,0.0283,0.5145,0.0154,0.0,0.0,0.0167,0.5082,0.0107,0.0,0.0
79,0.0274,0.5168,0.016,0.0,0.0,0.0224,0.5142,0.0132,0.0,0.0
80,0.0288,0.5152,0.0167,0.0,0.0,0.0205,0.5109,0.0101,0.0,0.0
81,0.0269,0.5137,0.0155,0.0,0.0,0.0213,0.5235,0.0131,0.0,0.0
82,0.0262,0.5123,0.0145,0.0,0.0,0.0152,0.5243,0.0098,0.0,0.0
83,0.0266,0.5201,0.0173,0.0,0.0,0.0224,0.5089,0.0153,0.0,0.0
84,0.0213,0.5453,0.0162,0.511,6.746e-05,0.0231,0.5295,0.0145,0.0,0.0
85,0.0277,0.5172,0.0156,0.0,0.0,0.0235,0.5124,0.0119,0.0,0.0
86,0.0271,0.5136,0.0155,0.0,0.0,0.0263,0.5192,0.0145,0.0,0.0
87,0.027,0.5147,0.0151,0.0,0.0,0.0173,0.5122,0.0098,0.0,0.0
88,0.0263,0.5141,0.016,0.0,0.0,0.0147,0.5502,0.012,0.0,0.0
89,0.0276,0.5257,0.0174,0.0594,8.0825e-06,0.0191,0.5125,0.0094,0.0,0.0
90,0.0275,0.516,0.0159,0.0,0.0,0.0206,0.5101,0.0116,0.0,0.0
91,0.0253,0.5296,0.0163,0.4783,2.3283e-05,0.0215,0.5131,0.0125,0.0,0.0
92,0.0239,0.5232,0.0151,0.0,0.0,0.0208,0.5183,0.0131,0.0,0.0
93,0.0275,0.5176,0.0147,0.0,0.0,0.0178,0.5128,0.0111,0.0,0.0
94,0.0278,0.5133,0.0162,0.0,0.0,0.0234,0.5154,0.0121,0.0,0.0
95,0.0244,0.5252,0.0151,0.0,0.0,0.025,0.5106,0.0138,0.0,0.0
96,0.0288,0.5149,0.0169,0.0,0.0,0.0192,0.5246,0.0102,0.0,0.0
97,0.0172,0.7603,0.0157,0.0235,0.0307,0.0097,0.5563,0.0112,0.0,0.0
98,0.0278,0.5258,0.0175,0.0,0.0,0.0244,0.5111,0.0126,0.0,0.0
99,0.0279,0.5123,0.0149,0.0,0.0,0.0192,0.5086,0.0125,0.0,0.0
100,0.0267,0.5135,0.0157,0.0,0.0,0.0227,0.514,0.0109,0.0,0.0
101,0.0265,0.5136,0.0159,0.0,0.0,0.0232,0.5127,0.0122,0.0,0.0
102,0.0261,0.5138,0.0147,0.0,0.0,0.0184,0.5095,0.0111,0.0,0.0
103,0.0283,0.5127,0.0165,0.0,0.0,0.0205,0.511,0.0106,0.0,0.0
104,0.0268,0.5118,0.0159,0.0,0.0,0.0215,0.5116,0.0121,0.0,0.0
105,0.0282,0.5125,0.0169,0.0,0.0,0.0193,0.5133,0.0094,0.0,0.0
106,0.0282,0.517,0.0159,0.0,0.0,0.0195,0.5163,0.0103,0.0,0.0
107,0.0278,0.5137,0.015,0.0,0.0,0.011,0.51,0.0057,0.0,0.0
108,0.0286,0.5136,0.0172,0.0,0.0,0.0163,0.5102,0.0082,0.0,0.0
109,0.0258,0.5137,0.0146,0.0,0.0,0.0231,0.5115,0.0119,0.0,0.0
110,0.0276,0.5127,0.0164,0.0,0.0,0.0186,0.5097,0.0094,0.0,0.0
111,0.0276,0.5151,0.0162,0.0,0.0,0.0202,0.5206,0.0114,0.0,0.0
112,0.0216,0.5412,0.0158,0.0166,0.0018,0.0166,0.5094,0.0089,0.0,0.0
113,0.0269,0.515,0.0165,0.0,0.0,0.0176,0.5139,0.0099,0.0,0.0
114,0.0245,0.5158,0.0137,0.0,0.0,0.018,0.5112,0.0094,0.0,0.0
115,0.029,0.5137,0.0173,0.0,0.0,0.0153,0.516,0.008,0.0,0.0
116,0.0273,0.5138,0.0163,0.0,0.0,0.0228,0.5134,0.0128,0.0,0.0
117,0.0284,0.5135,0.0163,0.0,0.0,0.0196,0.5109,0.0104,0.0,0.0
118,0.0266,0.5183,0.0147,0.0,0.0,0.0241,0.5177,0.0143,0.0,0.0
119,0.0283,0.5154,0.0158,0.0,0.0,0.0241,0.5099,0.0148,0.0,0.0
120,0.0281,0.5128,0.0168,0.0,0.0,0.0214,0.5105,0.0118,0.0,0.0
121,0.0271,0.5175,0.0168,0.0,0.0,0.0232,0.5226,0.0147,0.0,0.0
122,0.0275,0.5158,0.0155,0.0,0.0,0.0217,0.5189,0.0127,0.0,0.0
123,0.027,0.515,0.0153,0.0,0.0,0.0172,0.5124,0.0086,0.0,0.0
124,0.0279,0.5172,0.0169,0.0,0.0,0.029,0.5125,0.0172,0.0,0.0
125,0.0288,0.5125,0.0163,0.0,0.0,0.0185,0.5196,0.0112,0.0,0.0
126,0.0274,0.5142,0.0159,0.0,0.0,0.0163,0.51,0.0087,0.0,0.0
127,0.0248,0.5188,0.0147,0.0,0.0,0.0182,0.5259,0.0128,0.0,0.0
128,0.027,0.5127,0.0169,0.0,0.0,0.0193,0.5094,0.012,0.0,0.0
129,0.0285,0.5164,0.0167,0.0,0.0,0.0191,0.5119,0.0092,0.0,0.0
130,0.0256,0.5259,0.0161,0.0,0.0,0.0147,0.5353,0.0121,0.0,0.0
131,0.0233,0.5233,0.0141,0.0,0.0,0.0194,0.5122,0.0096,0.0,0.0
132,0.0288,0.5147,0.0157,0.0,0.0,0.0171,0.5249,0.0112,0.0,0.0
133,0.0266,0.5151,0.0151,0.0,0.0,0.0181,0.509,0.0101,0.0,0.0
134,0.0259,0.5179,0.015,0.0,0.0,0.0201,0.5122,0.0102,0.0,0.0
135,0.013,1.0255,0.0149,0.0095,0.0082,0.00030503,0.6193,0.012,0.0,0.0
136,0.0279,0.5196,0.0168,0.0014,1.3223e-05,0.0225,0.5136,0.0128,0.0,0.0
137,0.0278,0.5126,0.0163,0.0,0.0,0.0218,0.5113,0.0109,0.0,0.0
138,0.0265,0.5133,0.0144,0.0,0.0,0.018,0.5114,0.0087,0.0,0.0
139,0.028,0.5121,0.0158,0.0,0.0,0.0223,0.5148,0.0112,0.0,0.0
140,0.0285,0.5118,0.0163,0.0,0.0,0.0249,0.5119,0.0128,0.0,0.0
141,0.0273,0.5134,0.0161,0.0,0.0,0.019,0.5203,0.0092,0.0,0.0
142,0.0288,0.5149,0.0173,0.0,0.0,0.0261,0.5108,0.015,0.0,0.0
143,0.0263,0.5136,0.0151,0.0,0.0,0.0181,0.5138,0.0109,0.0,0.0
144,0.0281,0.5134,0.0172,0.0,0.0,0.0192,0.5112,0.0095,0.0,0.0
145,0.0291,0.5151,0.0182,0.0,0.0,0.0216,0.5155,0.012,0.0,0.0
146,0.0291,0.514,0.0172,0.0,0.0,0.0164,0.5074,0.0127,0.0,0.0
147,0.029,0.5131,0.0171,0.0,0.0,0.0228,0.5115,0.0117,0.0,0.0
148,0.0276,0.5153,0.016,0.0,0.0,0.0214,0.5116,0.0108,0.0,0.0
149,0.0263,0.5182,0.0156,0.0,0.0,0.0183,0.5096,0.0112,0.0,0.0
150,0.0293,0.5154,0.0182,0.0,0.0,0.0162,0.5221,0.0097,0.0,0.0
